proj_code,order_date,order_code,order_code2,cust_code,no_cli,co_obr,de_obr,obra_latitud,obra_longitud,tkt_code,guia,pivot_plant_code,pivot_plant_name,pivot_plant_latitud,pivot_plant_longitud,plant_code,plant_name,plant_latitud,plant_longitud,truck_code,short_prod_descr,delv_qty,descr,to_job_time,on_job_time,begin_unld_time,end_unld_time,to_plant_time,at_plant_time,tiempo_a_obra,tiempo_espera,tiempo_vaciado,tiempo_salida,tiempo_a_planta,order_qty,start_time,frecuencia,prod_code,truck_type,load_num,tamaño_de_carga,sched_num
237628,2021-01-27 00:00:00,4,4,19455,SOLA Y BARBERÁ S.L.,PL68,EDIFICIO ALAMEDA ANA BELÉN GIL,-12.0321577778678,-77.04055034630898,2307618,427-2307618,VSM,Planta Villa El Salvador,-12.210833,-76.941111,SJN,Planta San Juan,-12.146795,-76.980005,683,1210N57B,9.0,Columna,2021-01-27 08:30:00,2021-01-27 09:03:10,2021-01-27 10:47:16,2021-01-27 11:12:01,2021-01-27 11:13:26,2021-01-27 11:49:52,33.2,104.1,24.7,1.4,36.4,37.5,2021-01-27 08:00:00,30,125069,C9,2,9,1
237628,2021-01-27 00:00:00,4,4,19455,SOLA Y BARBERÁ S.L.,PL68,EDIFICIO ALAMEDA ANA BELÉN GIL,-12.0321577778678,-77.04055034630898,2639098,431-2639098,VSM,Planta Villa El Salvador,-12.210833,-76.941111,SJ3,Planta San Juan 3,-12.146795,-76.980005,695,1210N57B,9.0,Columna,2021-01-27 09:00:00,2021-01-27 09:27:11,2021-01-27 10:29:00,2021-01-27 10:50:52,2021-01-27 10:53:29,2021-01-27 11:14:54,27.2,61.8,21.9,2.6,21.4,37.5,2021-01-27 08:00:00,30,125069,C8,3,9,1
237628,2021-01-27 00:00:00,4,4,19455,SOLA Y BARBERÁ S.L.,PL68,EDIFICIO ALAMEDA ANA BELÉN GIL,-12.0321577778678,-77.04055034630898,2843718,443-2843718,VSM,Planta Villa El Salvador,-12.210833,-76.941111,CAL,Planta Callao,-12.066667,-77.15,738,1210N57B,9.0,Columna,2021-01-27 09:30:00,2021-01-27 09:46:49,2021-01-27 10:56:00,2021-01-27 11:12:18,2021-01-27 11:15:36,2021-01-27 11:27:27,16.8,69.2,16.3,3.3,11.9,37.5,2021-01-27 08:00:00,30,125069,C9,4,9,1
237628,2021-01-27 00:00:00,4,4,19455,SOLA Y BARBERÁ S.L.,PL68,EDIFICIO ALAMEDA ANA BELÉN GIL,-12.0321577778678,-77.04055034630898,2444920,429-2444920,VSM,Planta Villa El Salvador,-12.210833,-76.941111,CAL,Planta Callao,-12.066667,-77.15,853,1210N57B,1.5,Columna,2021-01-27 10:00:00,2021-01-27 10:17:16,2021-01-27 11:23:32,2021-01-27 11:28:32,2021-01-27 11:34:49,2021-01-27 11:52:25,17.3,66.3,5.0,6.3,17.6,37.5,2021-01-27 08:00:00,30,125069,C9,5,9,1
242433,2021-03-12 00:00:00,5,5,14196,FONT Y CARRILLO S.A.,PL17,EDIFICIO CUESTA JAFET AMO,-12.235475964017947,-77.1403699268288,2733247,442-2733247,ATE,Planta Ate,-12.043333,-76.898056,ATE,Planta Ate,-12.043333,-76.898056,651,1210N57B,7.0,Muro/Placa,2021-03-12 16:00:00,2021-03-12 17:14:42,2021-03-12 18:27:11,2021-03-12 18:39:16,2021-03-12 18:45:25,2021-03-12 19:59:10,74.7,72.5,12.1,6.1,73.8,16.9,2021-03-12 16:00:00,45,125069,C7,1,7,1
242433,2021-03-12 00:00:00,5,5,14196,FONT Y CARRILLO S.A.,PL17,EDIFICIO CUESTA JAFET AMO,-12.235475964017947,-77.1403699268288,2954851,418-2954851,ATE,Planta Ate,-12.043333,-76.898056,ATE,Planta Ate,-12.043333,-76.898056,810,1210N57B,7.0,Muro/Placa,2021-03-12 16:45:00,2021-03-12 18:00:02,2021-03-12 18:01:15,2021-03-12 18:21:29,2021-03-12 18:29:30,2021-03-12 19:58:33,75.0,1.2,20.2,8.0,89.1,16.9,2021-03-12 16:00:00,45,125069,C10,2,7,1
242433,2021-03-12 00:00:00,5,5,14196,FONT Y CARRILLO S.A.,PL17,EDIFICIO CUESTA JAFET AMO,-12.235475964017947,-77.1403699268288,2262801,440-2262801,ATE,Planta Ate,-12.043333,-76.898056,ATE,Planta Ate,-12.043333,-76.898056,847,1210N57B,2.9,Muro/Placa,2021-03-12 17:30:00,2021-03-12 18:56:26,2021-03-12 19:30:57,2021-03-12 19:42:10,2021-03-12 19:45:09,2021-03-12 20:53:52,86.4,34.5,11.2,3.0,68.7,16.9,2021-03-12 16:00:00,45,125069,C8,3,7,1
245035,2021-02-07 00:00:00,6,6,15679,VELASCO Y ASOCIADOS S.COOP.,OV41,EDIFICIO C. ALBA ROLDÁN,-11.977505508954197,-76.98830681309981,2309445,411-2309445,SJN,Planta San Juan,-12.146795,-76.980005,SJN,Planta San Juan,-12.146795,-76.980005,667,1175N47B,9.0,Muro/Placa,2021-02-07 09:00:00,2021-02-07 09:41:17,2021-02-07 10:47:24,2021-02-07 11:07:56,2021-02-07 11:15:32,2021-02-07 11:46:17,41.3,66.1,20.5,7.6,30.8,17.2,2021-02-07 09:00:00,60,124850,C10,1,9,1
245035,2021-02-07 00:00:00,6,6,15679,VELASCO Y ASOCIADOS S.COOP.,OV41,EDIFICIO C. ALBA ROLDÁN,-11.977505508954197,-76.98830681309981,2870813,430-2870813,SJN,Planta San Juan,-12.146795,-76.980005,SJ3,Planta San Juan 3,-12.146795,-76.980005,584,1175N47B,8.2,Muro/Placa,2021-02-07 10:00:00,2021-02-07 10:35:59,2021-02-07 11:56:53,2021-02-07 12:20:55,2021-02-07 12:26:42,2021-02-07 13:08:19,36.0,80.9,24.0,5.8,41.6,17.2,2021-02-07 09:00:00,60,124850,C9,2,9,1
235242,2021-06-25 00:00:00,7,7,20833,MELÉNDEZ & ASOCIADOS S.COOP.,OW59,EDIFICIO CALLE DE APOLONIA CHAMORRO,-12.15919035674673,-76.85116358592796,2901922,435-2901922,ATE,Planta Ate,-12.043333,-76.898056,ATE,Planta Ate,-12.043333,-76.898056,846,1175N47B,7.0,Columna,2021-06-25 15:00:00,2021-06-25 15:29:09,2021-06-25 15:46:26,2021-06-25 16:07:57,2021-06-25 16:10:13,2021-06-25 16:44:43,29.2,17.3,21.5,2.3,34.5,36.6,2021-06-25 15:00:00,20,124850,C10,1,7,1
235242,2021-06-25 00:00:00,7,7,20833,MELÉNDEZ & ASOCIADOS S.COOP.,OW59,EDIFICIO CALLE DE APOLONIA CHAMORRO,-12.15919035674673,-76.85116358592796,2705511,437-2705511,ATE,Planta Ate,-12.043333,-76.898056,ATE,Planta Ate,-12.043333,-76.898056,883,1175N47B,7.0,Columna,2021-06-25 15:20:00,2021-06-25 15:49:58,2021-06-25 17:48:34,2021-06-25 17:57:45,2021-06-25 18:03:35,2021-06-25 18:31:22,30.0,118.6,9.2,5.8,27.8,36.6,2021-06-25 15:00:00,20,124850,C9,2,7,1
235242,2021-06-25 00:00:00,7,7,20833,MELÉNDEZ & ASOCIADOS S.COOP.,OW59,EDIFICIO CALLE DE APOLONIA CHAMORRO,-12.15919035674673,-76.85116358592796,2649641,439-2649641,ATE,Planta Ate,-12.043333,-76.898056,ATE,Planta Ate,-12.043333,-76.898056,787,1175N47B,7.0,Columna,2021-06-25 15:40:00,2021-06-25 16:10:25,2021-06-25 17:46:12,2021-06-25 18:00:02,2021-06-25 18:07:06,2021-06-25 18:35:35,30.4,95.8,13.8,7.1,28.5,36.6,2021-06-25 15:00:00,20,124850,C9,3,7,1
235242,2021-06-25 00:00:00,7,7,20833,MELÉNDEZ & ASOCIADOS S.COOP.,OW59,EDIFICIO CALLE DE APOLONIA CHAMORRO,-12.15919035674673,-76.85116358592796,2428129,402-2428129,ATE,Planta Ate,-12.043333,-76.898056,ATE,Planta Ate,-12.043333,-76.898056,559,1175N47B,7.0,Columna,2021-06-25 16:00:00,2021-06-25 16:25:38,2021-06-25 16:35:07,2021-06-25 16:54:50,2021-06-25 17:04:01,2021-06-25 17:25:50,25.6,9.5,19.7,9.2,21.8,36.6,2021-06-25 15:00:00,20,124850,C8,4,7,1
235242,2021-06-25 00:00:00,7,7,20833,MELÉNDEZ & ASOCIADOS S.COOP.,OW59,EDIFICIO CALLE DE APOLONIA CHAMORRO,-12.15919035674673,-76.85116358592796,2142254,423-2142254,ATE,Planta Ate,-12.043333,-76.898056,ATE,Planta Ate,-12.043333,-76.898056,698,1175N47B,7.0,Columna,2021-06-25 16:20:00,2021-06-25 17:07:23,2021-06-25 17:53:02,2021-06-25 18:08:26,2021-06-25 18:10:19,2021-06-25 19:04:30,47.4,45.7,15.4,1.9,54.2,36.6,2021-06-25 15:00:00,20,124850,C10,5,7,1
235242,2021-06-25 00:00:00,7,7,20833,MELÉNDEZ & ASOCIADOS S.COOP.,OW59,EDIFICIO CALLE DE APOLONIA CHAMORRO,-12.15919035674673,-76.85116358592796,2162029,431-2162029,ATE,Planta Ate,-12.043333,-76.898056,ATE,Planta Ate,-12.043333,-76.898056,712,1175N47B,1.6,Columna,2021-06-25 16:40:00,2021-06-25 17:19:06,2021-06-25 19:10:35,2021-06-25 19:21:04,2021-06-25 19:25:51,2021-06-25 20:07:45,39.1,111.5,10.5,4.8,41.9,36.6,2021-06-25 15:00:00,20,124850,C7,6,7,1
235182,2021-04-28 00:00:00,8,8,7106,FAMILIA TORRENT S.COOP.,PL74,EDIFICIO RAMBLA BELEN GRANDE,-11.969018900473968,-76.99769549761871,2897004,443-2897004,CAL,Planta Callao,-12.066667,-77.15,CAL,Planta Callao,-12.066667,-77.15,685,1210N67B,8.0,Escalera,2021-04-28 09:00:00,2021-04-28 09:58:32,2021-04-28 10:03:27,2021-04-28 10:19:16,2021-04-28 10:24:15,2021-04-28 11:33:03,58.5,4.9,15.8,5.0,68.8,14.4,2021-04-28 09:00:00,45,124993,C7,1,8,1
235182,2021-04-28 00:00:00,8,8,7106,FAMILIA TORRENT S.COOP.,PL74,EDIFICIO RAMBLA BELEN GRANDE,-11.969018900473968,-76.99769549761871,2128093,442-2128093,CAL,Planta Callao,-12.066667,-77.15,CAL,Planta Callao,-12.066667,-77.15,732,1210N67B,6.4,Escalera,2021-04-28 09:45:00,2021-04-28 10:26:01,2021-04-28 12:41:16,2021-04-28 12:57:27,2021-04-28 12:59:00,2021-04-28 13:33:22,41.0,135.3,16.2,1.5,34.4,14.4,2021-04-28 09:00:00,45,124993,C7,2,8,1
240621,2021-05-07 00:00:00,9,9,7638,TALLERES CÁCERES S.L.N.E,OW56,EDIFICIO CALLEJÓN BAUDELIO LAGO,-11.910639061088407,-76.90050034119164,2592002,448-2592002,SJ3,Planta San Juan 3,-12.146795,-76.980005,SJ3,Planta San Juan 3,-12.146795,-76.980005,605,1210N57B,8.0,Viga,2021-05-07 08:00:00,2021-05-07 09:11:04,2021-05-07 09:14:16,2021-05-07 09:35:30,2021-05-07 09:38:42,2021-05-07 10:32:55,71.1,3.2,21.2,3.2,54.2,44.9,2021-05-07 08:00:00,20,125069,C7,1,8,1
240621,2021-05-07 00:00:00,9,9,7638,TALLERES CÁCERES S.L.N.E,OW56,EDIFICIO CALLEJÓN BAUDELIO LAGO,-11.910639061088407,-76.90050034119164,2826952,417-2826952,SJ3,Planta San Juan 3,-12.146795,-76.980005,SJ3,Planta San Juan 3,-12.146795,-76.980005,805,1210N57B,8.0,Viga,2021-05-07 08:20:00,2021-05-07 09:29:47,2021-05-07 10:57:44,2021-05-07 11:19:19,2021-05-07 11:22:24,2021-05-07 12:38:17,69.8,88.0,21.6,3.1,75.9,44.9,2021-05-07 08:00:00,20,125069,C7,2,8,1
240621,2021-05-07 00:00:00,9,9,7638,TALLERES CÁCERES S.L.N.E,OW56,EDIFICIO CALLEJÓN BAUDELIO LAGO,-11.910639061088407,-76.90050034119164,2693169,400-2693169,SJ3,Planta San Juan 3,-12.146795,-76.980005,SJ3,Planta San Juan 3,-12.146795,-76.980005,513,1210N57B,8.0,Viga,2021-05-07 08:40:00,2021-05-07 09:58:54,2021-05-07 10:20:37,2021-05-07 10:33:18,2021-05-07 10:36:33,2021-05-07 11:38:41,78.9,21.7,12.7,3.3,62.1,44.9,2021-05-07 08:00:00,20,125069,C8,3,8,1
240621,2021-05-07 00:00:00,9,9,7638,TALLERES CÁCERES S.L.N.E,OW56,EDIFICIO CALLEJÓN BAUDELIO LAGO,-11.910639061088407,-76.90050034119164,2132915,433-2132915,SJ3,Planta San Juan 3,-12.146795,-76.980005,SJ3,Planta San Juan 3,-12.146795,-76.980005,879,1210N57B,8.0,Viga,2021-05-07 09:00:00,2021-05-07 10:03:54,2021-05-07 12:02:10,2021-05-07 12:20:49,2021-05-07 12:21:58,2021-05-07 13:15:11,63.9,118.3,18.7,1.1,53.2,44.9,2021-05-07 08:00:00,20,125069,C10,4,8,1
240621,2021-05-07 00:00:00,9,9,7638,TALLERES CÁCERES S.L.N.E,OW56,EDIFICIO CALLEJÓN BAUDELIO LAGO,-11.910639061088407,-76.90050034119164,2473962,439-2473962,SJ3,Planta San Juan 3,-12.146795,-76.980005,SJ3,Planta San Juan 3,-12.146795,-76.980005,757,1210N57B,8.0,Viga,2021-05-07 09:20:00,2021-05-07 10:16:34,2021-05-07 10:26:06,2021-05-07 10:42:56,2021-05-07 10:47:11,2021-05-07 11:43:35,56.6,9.5,16.8,4.3,56.4,44.9,2021-05-07 08:00:00,20,125069,C8,5,8,1
240621,2021-05-07 00:00:00,9,9,7638,TALLERES CÁCERES S.L.N.E,OW56,EDIFICIO CALLEJÓN BAUDELIO LAGO,-11.910639061088407,-76.90050034119164,2032663,425-2032663,SJ3,Planta San Juan 3,-12.146795,-76.980005,SJ3,Planta San Juan 3,-12.146795,-76.980005,531,1210N57B,4.9,Viga,2021-05-07 09:40:00,2021-05-07 10:34:27,2021-05-07 12:31:56,2021-05-07 12:48:01,2021-05-07 12:53:42,2021-05-07 13:44:18,54.5,117.5,16.1,5.7,50.6,44.9,2021-05-07 08:00:00,20,125069,C10,6,8,1
234120,2021-02-03 00:00:00,10,10,22574,MARTORELL Y QUEVEDO S.A.,OV43,EDIFICIO CALLEJÓN DE SAMUEL SERRA,-12.086163106290872,-76.96802182475521,2068872,439-2068872,VSM,Planta Villa El Salvador,-12.210833,-76.941111,VSM,Planta Villa El Salvador,-12.210833,-76.941111,564,1280N67B,9.0,Zapata,2021-02-03 12:00:00,2021-02-03 12:34:52,2021-02-03 14:51:20,2021-02-03 15:05:17,2021-02-03 15:07:01,2021-02-03 15:42:02,34.9,136.5,14.0,1.7,35.0,24.8,2021-02-03 12:00:00,30,124699,C9,1,9,1
234120,2021-02-03 00:00:00,10,10,22574,MARTORELL Y QUEVEDO S.A.,OV43,EDIFICIO CALLEJÓN DE SAMUEL SERRA,-12.086163106290872,-76.96802182475521,2475755,406-2475755,VSM,Planta Villa El Salvador,-12.210833,-76.941111,VSM,Planta Villa El Salvador,-12.210833,-76.941111,758,1280N67B,9.0,Zapata,2021-02-03 12:30:00,2021-02-03 13:09:09,2021-02-03 14:31:25,2021-02-03 14:48:38,2021-02-03 14:58:35,2021-02-03 15:36:24,39.2,82.3,17.2,10.0,37.8,24.8,2021-02-03 12:00:00,30,124699,C10,2,9,1
234120,2021-02-03 00:00:00,10,10,22574,MARTORELL Y QUEVEDO S.A.,OV43,EDIFICIO CALLEJÓN DE SAMUEL SERRA,-12.086163106290872,-76.96802182475521,2907534,428-2907534,VSM,Planta Villa El Salvador,-12.210833,-76.941111,VSM,Planta Villa El Salvador,-12.210833,-76.941111,610,1280N67B,6.8,Zapata,2021-02-03 13:00:00,2021-02-03 13:43:57,2021-02-03 14:01:07,2021-02-03 14:18:14,2021-02-03 14:27:08,2021-02-03 15:10:02,44.0,17.2,17.1,8.9,42.9,24.8,2021-02-03 12:00:00,30,124699,C10,3,9,1
241078,2021-01-07 00:00:00,11,11,14540,GLORIA SARMIENTO SAINZ S.L.,OV10,EDIFICIO CALLEJÓN ROMÁN QUINTANILLA,-12.314503456995483,-76.96066911281896,2267271,443-2267271,SJ3,Planta San Juan 3,-12.146795,-76.980005,SJ3,Planta San Juan 3,-12.146795,-76.980005,691,1280N67B,9.0,Losa,2021-01-07 10:00:00,2021-01-07 10:56:35,2021-01-07 11:56:23,2021-01-07 12:18:52,2021-01-07 12:22:41,2021-01-07 13:11:08,56.6,59.8,22.5,3.8,48.5,11.0,2021-01-07 10:00:00,20,124699,C8,1,9,1
241078,2021-01-07 00:00:00,11,11,14540,GLORIA SARMIENTO SAINZ S.L.,OV10,EDIFICIO CALLEJÓN ROMÁN QUINTANILLA,-12.314503456995483,-76.96066911281896,2774683,435-2774683,SJ3,Planta San Juan 3,-12.146795,-76.980005,SJ3,Planta San Juan 3,-12.146795,-76.980005,690,1280N67B,2.0,Losa,2021-01-07 10:20:00,2021-01-07 11:19:27,2021-01-07 11:29:31,2021-01-07 11:39:20,2021-01-07 11:41:10,2021-01-07 12:25:39,59.5,10.1,9.8,1.8,44.5,11.0,2021-01-07 10:00:00,20,124699,C8,2,9,1
248711,2021-05-29 00:00:00,12,12,22488,HNOS MARTI S.L.,OV70,EDIFICIO CALLEJÓN CASEMIRO QUINTANILLA,-11.946251501116677,-77.09287702569144,2786730,418-2786730,SJN,Planta San Juan,-12.146795,-76.980005,SJN,Planta San Juan,-12.146795,-76.980005,716,1210N67B,9.0,Escalera,2021-05-29 14:00:00,2021-05-29 15:03:32,2021-05-29 15:52:59,2021-05-29 16:07:34,2021-05-29 16:11:45,2021-05-29 17:17:22,63.5,49.4,14.6,4.2,65.6,25.8,2021-05-29 14:00:00,60,124993,C7,1,9,1
248711,2021-05-29 00:00:00,12,12,22488,HNOS MARTI S.L.,OV70,EDIFICIO CALLEJÓN CASEMIRO QUINTANILLA,-11.946251501116677,-77.09287702569144,2235137,435-2235137,SJN,Planta San Juan,-12.146795,-76.980005,SJN,Planta San Juan,-12.146795,-76.980005,555,1210N67B,9.0,Escalera,2021-05-29 15:00:00,2021-05-29 16:04:42,2021-05-29 16:57:27,2021-05-29 17:17:57,2021-05-29 17:20:52,2021-05-29 18:27:25,64.7,52.7,20.5,2.9,66.5,25.8,2021-05-29 14:00:00,60,124993,C9,2,9,1
248711,2021-05-29 00:00:00,12,12,22488,HNOS MARTI S.L.,OV70,EDIFICIO CALLEJÓN CASEMIRO QUINTANILLA,-11.946251501116677,-77.09287702569144,2804711,438-2804711,SJN,Planta San Juan,-12.146795,-76.980005,SJN,Planta San Juan,-12.146795,-76.980005,818,1210N67B,7.8,Escalera,2021-05-29 16:00:00,2021-05-29 16:57:43,2021-05-29 18:52:06,2021-05-29 19:10:10,2021-05-29 19:18:26,2021-05-29 20:23:13,57.7,114.4,18.1,8.3,64.8,25.8,2021-05-29 14:00:00,60,124993,C7,3,9,1
231986,2021-04-15 00:00:00,13,13,18118,SOLUCIONES MOLINER Y ASOCIADOS S.A.,OW41,EDIFICIO CUESTA DE CRISTINA RODRIGO,-12.254204963929173,-76.9891142738269,2150210,404-2150210,ATE,Planta Ate,-12.043333,-76.898056,ATE,Planta Ate,-12.043333,-76.898056,789,1280N67B,9.0,Muro/Placa,2021-04-15 08:00:00,2021-04-15 08:55:31,2021-04-15 10:49:53,2021-04-15 11:14:52,2021-04-15 11:19:01,2021-04-15 12:02:56,55.5,114.4,25.0,4.2,43.9,27.4,2021-04-15 08:00:00,30,124699,C10,1,9,1
231986,2021-04-15 00:00:00,13,13,18118,SOLUCIONES MOLINER Y ASOCIADOS S.A.,OW41,EDIFICIO CUESTA DE CRISTINA RODRIGO,-12.254204963929173,-76.9891142738269,2440226,410-2440226,ATE,Planta Ate,-12.043333,-76.898056,ATE,Planta Ate,-12.043333,-76.898056,732,1280N67B,9.0,Muro/Placa,2021-04-15 08:30:00,2021-04-15 09:21:35,2021-04-15 10:56:33,2021-04-15 11:09:57,2021-04-15 11:17:40,2021-04-15 11:59:20,51.6,95.0,13.4,7.7,41.7,27.4,2021-04-15 08:00:00,30,124699,C9,2,9,1
231986,2021-04-15 00:00:00,13,13,18118,SOLUCIONES MOLINER Y ASOCIADOS S.A.,OW41,EDIFICIO CUESTA DE CRISTINA RODRIGO,-12.254204963929173,-76.9891142738269,2055164,448-2055164,ATE,Planta Ate,-12.043333,-76.898056,ATE,Planta Ate,-12.043333,-76.898056,579,1280N67B,9.0,Muro/Placa,2021-04-15 09:00:00,2021-04-15 09:58:26,2021-04-15 11:46:40,2021-04-15 12:09:46,2021-04-15 12:15:52,2021-04-15 12:59:16,58.4,108.2,23.1,6.1,43.4,27.4,2021-04-15 08:00:00,30,124699,C8,3,9,1
231986,2021-04-15 00:00:00,13,13,18118,SOLUCIONES MOLINER Y ASOCIADOS S.A.,OW41,EDIFICIO CUESTA DE CRISTINA RODRIGO,-12.254204963929173,-76.9891142738269,2463516,413-2463516,ATE,Planta Ate,-12.043333,-76.898056,ATE,Planta Ate,-12.043333,-76.898056,712,1280N67B,0.5,Muro/Placa,2021-04-15 09:30:00,2021-04-15 10:35:52,2021-04-15 12:16:57,2021-04-15 12:21:57,2021-04-15 12:28:55,2021-04-15 13:31:01,65.9,101.1,5.0,7.0,62.1,27.4,2021-04-15 08:00:00,30,124699,C9,4,9,1
