proj_code,order_date,order_code,cust_code,no_cli,co_obr,de_obr,obra_latitud,obra_longitud,start_time,prod_code,short_prod_descr,elemento,frecuencia,tamaño_de_carga,order_qty,delv_qty,promedio_tiempo_a_obra,promedio_tiempo_espera,promedio_tiempo_vaciado,promedio_tiempo_salida,promedio_tiempo_a_planta
248128,2021-02-10 00:00:00,19,15924,ALBA Y RIBA S.L.,PL87,EDIFICIO CALLE DE ALEX TAMAYO,-12.244685172596528,-77.04713591366202,2021-02-10 07:00:00,125069,1210N57B,Zapata,60,9,46.0,46.0,22.57,85.43,17.45,4.92,21.18
234286,2021-06-14 00:00:00,20,15583,PALMER Y APARICIO S.L.L.,OV66,EDIFICIO VIA RUPERTA RIBERA,-12.074159789436804,-77.0216939243058,2021-06-14 12:00:00,124993,1210N67B,Losa,20,8,30.9,30.9,26.78,79.3,17.27,4.28,26.08
231307,2021-04-03 00:00:00,21,13883,MOLINER & ASOCIADOS S.L.N.E,OV95,EDIFICIO ACCESO VALERO VILLALONGA,-12.298603189164107,-76.91596512743857,2021-04-03 09:00:00,125001,1350N77B,Zapata,30,8,44.3,44.3,22.17,49.3,15.8,4.38,23.02
243491,2021-06-22 00:00:00,22,15131,GÓMEZ Y ROCHA S.L.N.E,PL30,EDIFICIO ALAMEDA DE OCTAVIO CID,-11.956312745432264,-77.11757131207912,2021-06-22 14:00:00,124993,1210N67B,Muro/Placa,30,8,42.3,42.3,55.7,106.15,16.07,5.03,53.83
236328,2021-04-14 00:00:00,23,17756,MINERÍA IBÉRICA S.A.,PL18,EDIFICIO CALLEJÓN LIGIA PALOMARES,-11.86655544797582,-77.06626250218343,2021-04-14 11:00:00,124850,1175N47B,Muro/Placa,45,7,12.8,12.8,101.0,111.1,10.45,4.2,102.55
244239,2021-03-31 00:00:00,24,17278,SUMINISTROS MATEO Y ASOCIADOS S.A.,PU87,EDIFICIO CALLE DE PEPITO NUÑEZ,-11.857882075341704,-77.1153062647912,2021-03-31 07:00:00,124850,1175N47B,Viga,45,7,37.8,37.8,81.13,59.32,15.03,4.6,76.15
236456,2021-04-05 00:00:00,25,21132,BANCA PRIVADA KZOK S.L.L.,OW95,EDIFICIO CALLEJÓN DE JACINTA BARRIO,-11.889614571890979,-76.96305337701608,2021-04-05 12:00:00,124993,1210N67B,Escalera,45,9,36.0,36.0,67.85,81.78,20.47,5.88,64.7
242423,2021-06-24 00:00:00,26,12702,ATIENZA Y MANZANO S.L.N.E,PL61,EDIFICIO VIA DE ELODIA PALOMINO,-12.076031393432151,-77.14987821809082,2021-06-24 14:00:00,125069,1210N57B,Viga,60,9,27.5,27.5,12.6,106.25,13.25,5.68,11.88
235560,2021-06-19 00:00:00,27,9778,INSTALACIONES LAPF S.L.U.,PL75,EDIFICIO URBANIZACIÓN DE MACARENA TELLO,-12.0180730818475,-76.96422175839129,2021-06-19 09:00:00,124993,1210N67B,Viga,45,8,41.9,41.9,55.47,73.88,15.88,5.42,55.07
232386,2021-04-28 00:00:00,28,20580,HNOS BRAVO S.L.,OV99,EDIFICIO CAMINO DE SANDRA BUSTOS,-12.158010766303624,-77.03010414113704,2021-04-28 10:00:00,124699,1280N67B,Escalera,20,7,40.7,40.7,38.47,68.35,13.45,4.83,35.83
238165,2021-02-02 00:00:00,29,21957,SABATER Y ASOCIADOS S.L.,OV69,EDIFICIO URBANIZACIÓN DE NEREIDA GUTIÉRREZ,-12.016211133706824,-76.85363226408006,2021-02-02 15:00:00,124850,1175N47B,Columna,60,10,42.9,42.9,68.42,70.98,18.86,5.58,60.4
238101,2021-06-14 00:00:00,30,16086,FAMILIA CABELLO S.L.,PU90,EDIFICIO CAÑADA DE LEONEL SALA,-12.230377068092682,-77.01803822202054,2021-06-14 15:00:00,125069,1210N57B,Viga,45,9,21.4,21.4,20.2,62.77,15.97,9.2,22.0
237010,2021-01-18 00:00:00,31,20594,MANUFACTURAS CASTELLANA S.COM.,PU52,EDIFICIO CAÑADA CHUY PORTERO,-12.078694429748042,-77.02526772976906,2021-01-18 16:00:00,124699,1280N67B,Muro/Placa,60,7,44.0,44.0,29.14,82.09,15.73,4.61,27.81
243730,2021-05-19 00:00:00,32,24895,ANDRADE Y ASOCIADOS S.COOP.,OV72,EDIFICIO RAMBLA DE ROSAURA CARNERO,-12.240289182689281,-77.01924920718601,2021-05-19 14:00:00,124993,1210N67B,Muro/Placa,45,10,38.4,38.4,32.25,93.25,20.92,3.48,29.17
249395,2021-05-26 00:00:00,33,7888,FERRERAS Y ASOCIADOS S.COM.,OW92,EDIFICIO VIA DE JUAN PALMA,-12.135693615169453,-76.88994459332146,2021-05-26 14:00:00,124699,1280N67B,Losa,45,10,21.7,21.7,25.13,127.23,17.57,5.4,27.43
243813,2021-03-07 00:00:00,34,9683,HERMANOS ROMÁN S.L.L.,PU12,EDIFICIO ALAMEDA AMADA ROLDAN,-11.975487869458574,-77.13437431752703,2021-03-07 10:00:00,125069,1210N57B,Viga,20,7,39.7,39.7,65.4,69.98,14.85,4.88,62.05
233748,2021-05-26 00:00:00,35,14142,AMOR TERRÓN VERDÚ S.COM.,PU99,EDIFICIO PASEO SARA ROCAMORA,-12.221878151718906,-77.03933144770312,2021-05-26 08:00:00,124850,1175N47B,Zapata,20,8,48.5,48.5,61.87,75.66,14.89,7.73,58.71
242298,2021-04-13 00:00:00,36,13498,REYES AMORES MARTÍN S.L.,OW85,EDIFICIO PASADIZO CELIA GALLARDO,-12.00469279203351,-76.96182728131969,2021-04-13 16:00:00,124993,1210N67B,Escalera,45,7,41.4,41.4,53.35,66.07,16.03,4.93,51.5
246579,2021-06-16 00:00:00,37,18181,HERMANOS ANTÓN S.COOP.,OW63,EDIFICIO GLORIETA DE TERESA SAAVEDRA,-11.938834540954971,-77.11833833880681,2021-06-16 15:00:00,125069,1210N57B,Escalera,60,8,26.3,26.3,71.1,77.8,14.25,4.32,63.68
245843,2021-05-01 00:00:00,38,21272,ALVARADO Y ASOCIADOS S.A.,PL51,EDIFICIO PASAJE DE GRACIELA PAREJA,-11.924143419990333,-76.90078069433281,2021-05-01 16:00:00,124993,1210N67B,Columna,60,8,39.5,39.5,69.2,67.46,15.48,4.88,61.58
235958,2021-05-06 00:00:00,39,13950,JENNIFER FUSTER QUINTANILLA S.L.,PL43,EDIFICIO ALAMEDA JOSE FRANCISCO SASTRE,-12.179830578417858,-76.88590400607252,2021-05-06 13:00:00,125069,1210N57B,Zapata,20,8,11.6,11.6,14.8,115.7,9.45,4.15,14.85
246083,2021-04-26 00:00:00,40,7565,INDUSTRIAS GLOBALES S.L.,OW47,EDIFICIO VIA DE ÁMBAR CARBONELL,-12.239201799763734,-76.94246385341144,2021-04-26 12:00:00,125069,1210N57B,Escalera,45,10,31.2,31.2,41.15,86.07,20.25,4.15,39.25
238877,2021-03-21 00:00:00,41,15237,MANUFACTURAS IKZZ S.A.,OV25,EDIFICIO CALLE MILAGROS COSTA,-11.989357834336964,-77.0553356167982,2021-03-21 14:00:00,124850,1175N47B,Escalera,30,8,17.1,17.1,39.37,82.43,12.2,5.13,37.63
233294,2021-02-20 00:00:00,42,16707,AMOR VIZCAÍNO IBAÑEZ S.A.T.,OV56,EDIFICIO PLAZA DE MARÍA DOLORES RODA,-12.260279228157298,-77.14575548982319,2021-02-20 15:00:00,124850,1175N47B,Viga,45,7,48.9,48.9,44.53,70.21,16.97,4.46,41.21
233361,2021-01-05 00:00:00,43,16317,CARBAJO Y LEAL S.COM.,PU71,EDIFICIO PASADIZO AMADA BAUZÀ,-12.129765600931995,-77.09469089888297,2021-01-05 13:00:00,124993,1210N67B,Columna,60,7,42.5,42.5,43.74,80.13,14.77,5.27,41.66
248443,2021-03-20 00:00:00,44,9791,LUJÁN Y ASOCIADOS S.A.,OV25,EDIFICIO URBANIZACIÓN DE MARÍA CRISTINA GIMENO,-12.070963482691186,-77.0251477935769,2021-03-20 14:00:00,124850,1175N47B,Zapata,30,10,26.9,26.9,24.17,91.37,19.77,2.87,18.9
231973,2021-06-07 00:00:00,45,10251,SUMINISTROS FWEL S.L.,OV90,EDIFICIO PASADIZO RAMÓN PI,-12.244487402347303,-76.95187155884238,2021-06-07 13:00:00,124699,1280N67B,Viga,30,7,14.6,14.6,25.37,25.87,11.43,3.83,27.37
239264,2021-06-30 00:00:00,46,21877,CONSTRUCCIÓN DEL MEDITERRÁNEO S.A.,OW97,EDIFICIO VIAL DE NORBERTO MARISCAL,-12.233288096919987,-77.07063361230233,2021-06-30 10:00:00,124850,1175N47B,Escalera,30,10,12.8,12.8,27.0,34.95,15.5,4.6,29.25
235436,2021-03-21 00:00:00,47,16457,BANCO SANTANA Y ASOCIADOS S.L.,PU25,EDIFICIO URBANIZACIÓN DE EVELIA CORDERO,-12.11565101486192,-77.05877264283657,2021-03-21 07:00:00,125001,1350N77B,Columna,60,10,11.4,11.4,16.2,50.55,15.35,7.95,18.6
237501,2021-06-23 00:00:00,48,7679,TALLERES BUENDÍA Y ASOCIADOS S.A.,PL83,EDIFICIO VIA DE ROQUE COBO,-12.32988416342769,-76.92311935087623,2021-06-23 16:00:00,125001,1350N77B,Zapata,60,9,15.6,15.6,76.05,53.65,15.25,3.85,76.75
243380,2021-03-28 00:00:00,49,17520,RESTAURACIÓN THIC S.L.,OW30,EDIFICIO CUESTA HORACIO FIOL,-12.185098168210517,-76.94189789780496,2021-03-28 12:00:00,125069,1210N57B,Escalera,60,7,27.1,27.1,53.75,91.7,17.05,7.3,55.7
230037,2021-06-19 00:00:00,50,24779,VIVIANA FERRER ZAMORA S.L.,PU62,EDIFICIO CAMINO DE RICO ROCA,-12.322897957311636,-76.99446818226178,2021-06-19 15:00:00,124850,1175N47B,Muro/Placa,60,7,16.5,16.5,78.6,104.37,12.9,8.23,84.6
